x y t case x_pre y_pre x_cor y_cor
0 0 0.128586 1 -431602080 -431602080 0 0
0 0 0.249035 4 -431602080 -431602080 0 0
0 0 0.376304 4 -431602080 -431602080 0 0
0 0 0.499734 4 -431602080 -431602080 0 0
0 0 0.627721 4 -431602080 -431602080 0 0
0 0 0.749321 4 -431602080 -431602080 0 0
0 0 0.87443 4 -431602080 -431602080 0 0
0 0 1.00172 4 -431602080 -431602080 0 0
0 0 1.12364 4 -431602080 -431602080 0 0
0 0 1.24842 4 -431602080 -431602080 0 0
0 0 1.37758 4 -431602080 -431602080 0 0
0 0 1.49791 4 -431602080 -431602080 0 0
0 0 1.62461 4 -431602080 -431602080 0 0
0 0 1.74663 4 -431602080 -431602080 0 0
0 0 1.87241 4 -431602080 -431602080 0 0
0 0 1.99915 4 -431602080 -431602080 0 0
0 0 2.12312 4 -431602080 -431602080 0 0
0 0 2.24591 4 -431602080 -431602080 0 0
0 0 2.37195 4 -431602080 -431602080 0 0
0 0 2.49477 4 -431602080 -431602080 0 0
0 0 2.62121 4 -431602080 -431602080 0 0
0 0 2.74857 4 -431602080 -431602080 0 0
0 0 2.86975 4 -431602080 -431602080 0 0
0 0 2.99553 4 -431602080 -431602080 0 0
0 0 3.11722 4 -431602080 -431602080 0 0
0 0 3.24366 4 -431602080 -431602080 0 0
0 0 3.36884 4 -431602080 -431602080 0 0
0 0 3.49678 4 -431602080 -431602080 0 0
0 0 3.62094 4 -431602080 -431602080 0 0
0 0 3.74345 4 -431602080 -431602080 0 0
0 0 3.86726 4 -431602080 -431602080 0 0
0 0 3.99447 4 -431602080 -431602080 0 0
0 0 4.11633 4 -431602080 -431602080 0 0
0 0 4.24299 4 -431602080 -431602080 0 0
0 0 4.36656 4 -431602080 -431602080 0 0
0 0 4.49483 4 -431602080 -431602080 0 0
0 0 4.61617 4 -431602080 -431602080 0 0
0 0 4.74354 4 -431602080 -431602080 0 0
0 0 4.87058 4 -431602080 -431602080 0 0
0 0 4.9916 4 -431602080 -431602080 0 0
0 0 5.11628 4 -431602080 -431602080 0 0
0 0 5.24064 4 -431602080 -431602080 0 0
0 0 5.36517 4 -431602080 -431602080 0 0
0 0 5.4901 4 -431602080 -431602080 0 0
0 0 5.61469 4 -431602080 -431602080 0 0
0 0 5.73926 4 -431602080 -431602080 0 0
0 0 5.86453 4 -431602080 -431602080 0 0
0 0 5.99221 4 -431602080 -431602080 0 0
0 0 6.11947 4 -431602080 -431602080 0 0
0 0 6.2365 4 -431602080 -431602080 0 0
0 0 6.36642 4 -431602080 -431602080 0 0
0 0 6.48894 4 -431602080 -431602080 0 0
0 0 6.61699 4 -431602080 -431602080 0 0
0 0 6.74151 4 -431602080 -431602080 0 0
0 0 6.86468 4 -431602080 -431602080 0 0
0 0 6.98884 4 -431602080 -431602080 0 0
0 0 7.11374 4 -431602080 -431602080 0 0
0 0 7.23689 4 -431602080 -431602080 0 0
0 0 7.36616 4 -431602080 -431602080 0 0
0 0 7.48654 4 -431602080 -431602080 0 0
0 0 7.61495 4 -431602080 -431602080 0 0
0 0 7.73738 4 -431602080 -431602080 0 0
0 0 7.86371 4 -431602080 -431602080 0 0
0 0 7.98702 4 -431602080 -431602080 0 0
0 0 8.11409 4 -431602080 -431602080 0 0
0 0 8.23542 4 -431602080 -431602080 0 0
0 0 8.36069 4 -431602080 -431602080 0 0
0 0 8.48861 4 -431602080 -431602080 0 0
0 0 8.60987 4 -431602080 -431602080 0 0
0 0 8.73636 4 -431602080 -431602080 0 0
0 0 8.85802 4 -431602080 -431602080 0 0
0 0 8.98882 4 -431602080 -431602080 0 0
0 0 9.11235 4 -431602080 -431602080 0 0
0 0 9.23659 4 -431602080 -431602080 0 0
0 0 9.35895 4 -431602080 -431602080 0 0
0 0 9.48463 4 -431602080 -431602080 0 0
0 0 9.61409 4 -431602080 -431602080 0 0
0 0 9.74123 4 -431602080 -431602080 0 0
0 0 9.8591 4 -431602080 -431602080 0 0
0 0 9.98637 4 -431602080 -431602080 0 0
0 0 10.11 4 -431602080 -431602080 0 0
0 0 10.2358 4 -431602080 -431602080 0 0
0 0 10.3575 4 -431602080 -431602080 0 0
0 0 10.4851 4 -431602080 -431602080 0 0
0 0 10.6062 4 -431602080 -431602080 0 0
3234.24 1289.31 10.739 4 -431602080 -431602080 3234 1289
3249.43 1287.55 10.759 2 3234 1289 3249 1287
3256.04 1268.84 10.7881 2 3251 1287 3256 1268
3253.83 1263.11 10.8047 2 3258 1265 3253 1263
3254.42 1260.62 10.8193 2 3254 1259 3254 1260
3254.2 1258.59 10.8357 2 3255 1256 3254 1258
3252.75 1256.83 10.852 2 3254 1255 3252 1256
3251.52 1254.5 10.8823 2 3252 1251 3251 1254
3250.82 1250.69 10.8994 2 3251 1252 3250 1250
3249.31 1249.31 10.9298 2 3250 1246 3249 1249
3247.09 1246.11 10.9449 2 3248 1247 3247 1246
3246 1244.84 10.9602 2 3246 1244 3246 1244
3244.2 1244.52 10.977 2 3244 1243 3244 1244
3243.28 1242.69 11.0075 2 3241 1242 3243 1242
3241.11 1241.66 11.0247 2 3242 1241 3241 1241
